model_type,vectorizer_num_features,semi_supervised,samples,dummy_train_accuracy,dummy_test_accuracy,train_accuracy,test_accuracy,run_time
LinearSVC,100,False,50000,0.40535189296214075,0.39729551451187334,0.9248615027699446,0.9187994722955145,0.344013
LinearSVC,100,False,51000,0.40740377639654124,0.3970316622691293,0.9248250034313052,0.9189313984168865,0.318998
LinearSVC,100,False,52000,0.40372300532682065,0.3970316622691293,0.9245976038922329,0.9192612137203167,0.320013
LinearSVC,100,False,53000,0.40370936397426466,0.3972295514511873,0.9244731231486198,0.9186675461741425,0.326986
LinearSVC,100,False,53531,0.40569016084138165,0.3970316622691293,0.9245670732846388,0.9189973614775726,0.333001
SGDClassifier,100,False,250,0.3346613545816733,0.36998680738786277,0.9960159362549801,0.8358839050131927,0.143695
SGDClassifier,100,False,500,0.36726546906187624,0.38476253298153035,0.9800399201596807,0.8743403693931399,0.131171
SGDClassifier,100,False,750,0.37283621837549935,0.3883905013192612,0.9707057256990679,0.8879287598944591,0.131157
SGDClassifier,100,False,1000,0.37962037962037964,0.3867414248021108,0.9600399600399601,0.8976912928759895,0.132486
SGDClassifier,100,False,2000,0.3828085957021489,0.383509234828496,0.9390304847576212,0.9076517150395779,0.134404
SGDClassifier,100,False,3000,0.39820059980006667,0.38773087071240103,0.931356214595135,0.9130606860158311,0.134261
SGDClassifier,100,False,4000,0.3911522119470133,0.38905013192612137,0.9307673081729567,0.9158311345646438,0.126267
SGDClassifier,100,False,5000,0.40851829634073183,0.39313984168865435,0.9332133573285343,0.9156992084432718,0.129841
SGDClassifier,100,False,6000,0.4024329278453591,0.3924142480211082,0.9280119980003333,0.9153034300791557,0.129484
SGDClassifier,100,False,7000,0.3960862733895158,0.39313984168865435,0.9282959577203257,0.9164248021108179,0.135871
SGDClassifier,100,False,8000,0.39657542807149104,0.39267810026385225,0.9273840769903762,0.9147757255936676,0.134205
